plateID,1,2,3,4,5,6,7,8,9,10,11,12
A,NSB,STD 4,bufferCtrl,121 pre,123 pre,125 pre,127 pre,129 pre,132 pre,134 pre,136 pre,138 pre
B,NSB,STD 4,bufferCtrl,121 pre,123 pre,125 pre,127 pre,129 pre,132 pre,134 pre,136 pre,138 pre
C,STD 1,STD 5,C_2,121 post,123 post,125 post,127 post,129 post,132 post,134 post,137 pre,138 post
D,STD 1,STD 5,C_2,121 post,123 post,125 post,127 post,129 post,132 post,134 post,137 pre,138 post
E,STD 2,STD 6,120 post,122 pre,124 pre,126 pre,128 pre,130 pre,133 pre,135 pre,137 post,139 pre
F,STD 2,STD 6,120 post,122 pre,124 pre,126 pre,128 pre,130 pre,133 pre,135 pre,137 post,139 pre
G,STD 3,STD 7,STD 5,122 post,124 post,126 post,128 post,130 post,133 post,135 post,,139 post
H,STD 3,STD 7,STD 6,122 post,124 post,126 post,128 post,130 post,133 post,135 post,,139 post
,,,,,,,,,,,,
netOD,1,2,3,4,5,6,7,8,9,10,11,12
A,0.001,0.22,0.397,0.407,0.229,0.224,0.342,0.291,0.32,0.298,0.208,0.347
B,-0.001,0.223,0.398,0.365,0.241,0.259,0.323,0.281,0.397,0.291,0.204,0.305
C,0.068,0.295,0.208,0.213,0.241,0.255,0.149,0.15,0.128,0.32,0.234,0.122
D,0.059,0.283,0.223,0.219,0.216,0.212,0.146,0.127,0.118,0.304,0.229,0.104
E,0.098,0.275,0.088,0.359,0.365,0.24,0.422,0.398,0.218,0.341,0.335,0.297
F,0.103,0.371,0.084,0.341,0.332,0.247,0.414,0.372,0.215,0.357,0.335,0.285
G,0.16,0.374,0.275,0.234,0.232,0.089,0.219,0.288,0.243,0.289,,0.098
H,0.159,0.396,0.349,0.208,0.196,0.089,0.242,0.273,0.228,0.248,,0.093
,,,,,,,,,,,,
mouseID,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,D041-02_06,D039-02_46,D039-02_44,D039-02_64,D037-02_60,D028-02_04,D044-02_60,D044-02_66,D043-02_40
B,,,,D041-02_06,D039-02_46,D039-02_44,D039-02_64,D037-02_60,D028-02_04,D044-02_60,D044-02_66,D043-02_40
C,,,,D041-02_06,D039-02_46,D039-02_44,D039-02_64,D037-02_60,D028-02_04,D044-02_60,D043-02_04,D043-02_40
D,,,,D041-02_06,D039-02_46,D039-02_44,D039-02_64,D037-02_60,D028-02_04,D044-02_60,D043-02_04,D043-02_40
E,,,D041-02_04,D041-02_44,D039-02_60,D039-02_66,D037-02_46,D037-02_44,D028-02_64,D044-02_64,D043-02_04,D043-02_66
F,,,D041-02_04,D041-02_44,D039-02_60,D039-02_66,D037-02_46,D037-02_44,D028-02_64,D044-02_64,D043-02_04,D043-02_66
G,,,,D041-02_44,D039-02_60,D039-02_66,D037-02_46,D037-02_44,D028-02_64,D044-02_64,,D043-02_66
H,,,,D041-02_44,D039-02_60,D039-02_66,D037-02_46,D037-02_44,D028-02_64,D044-02_64,,D043-02_66
,,,,,,,,,,,,
time,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,0,0,0,0,0,0,0,0,0
B,,,,0,0,0,0,0,0,0,0,0
C,,,,5,5,5,5,5,5,5,0,5
D,,,,5,5,5,5,5,5,5,0,5
E,,,5,0,0,0,0,0,0,0,5,0
F,,,5,0,0,0,0,0,0,0,5,0
G,,,,5,5,5,5,5,5,5,,5
H,,,,5,5,5,5,5,5,5,,5
,,,,,,,,,,,,
type,1,2,3,4,5,6,7,8,9,10,11,12
A,NSB,STD,bufferCtrl,sample,sample,sample,sample,sample,sample,sample,sample,sample
B,NSB,STD,bufferCtrl,sample,sample,sample,sample,sample,sample,sample,sample,sample
C,STD,STD,QC,sample,sample,sample,sample,sample,sample,sample,sample,sample
D,STD,STD,QC,sample,sample,sample,sample,sample,sample,sample,sample,sample
E,STD,STD,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample
F,STD,STD,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample
G,STD,STD,STD,sample,sample,sample,sample,sample,sample,sample,,sample
H,STD,STD,STD,sample,sample,sample,sample,sample,sample,sample,,sample
,,,,,,,,,,,,
stdPgPerWell,1,2,3,4,5,6,7,8,9,10,11,12
A,,31.25,,,,,,,,,,
B,,31.25,,,,,,,,,,
C,250,15.625,,,,,,,,,,
D,250,15.625,,,,,,,,,,
E,125,7.8125,,,,,,,,,,
F,125,7.8125,,,,,,,,,,
G,62.5,3.90625,15.625,,,,,,,,,
H,62.5,3.90625,7.8125,,,,,,,,,
,,,,,,,,,,,,
volPerWell,1,2,3,4,5,6,7,8,9,10,11,12
A,,0.05,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
B,,0.05,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
C,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
D,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
E,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
F,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
G,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05
H,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05
,,,,,,,,,,,,
dilutionFactor,1,2,3,4,5,6,7,8,9,10,11,12
A,,1,,100,100,100,100,100,100,100,100,100
B,,1,,100,100,100,100,100,100,100,100,100
C,1,1,100,100,100,100,100,100,100,100,100,100
D,1,1,100,100,100,100,100,100,100,100,100,100
E,1,1,100,100,100,100,100,100,100,100,100,100
F,1,1,100,100,100,100,100,100,100,100,100,100
G,1,1,1,100,100,100,100,100,100,100,,100
H,1,1,1,100,100,100,100,100,100,100,,100
